0.285021,1.54444,0.584822,1.36743,0.844126,1.02352,0.968362,0.544609,0.887284,0.0369477,0.534933,-0.441641,-0.00611788,-0.829418,-0.630879,-1.06921,-1.26311,-1.13388,-2.20444,-1.0428,20.0822,18.4942,26.4346,0.699622,44.4448,1
0.679567,1.82537,0.869392,1.43281,0.960339,0.886134,0.900986,0.306643,0.643046,-0.239663,0.246967,-0.682308,-0.210391,-0.956029,-0.673219,-1.02985,-1.36232,-0.925878,-2.05436,-0.61724,22.272,21.5716,29.5698,0.729517,49.3109,1
0.980635,2.06482,1.05615,1.37599,1.00687,0.645822,0.792691,-0.0425329,0.463812,-0.600273,0.0840498,-0.945167,-0.300254,-1.03818,-0.872443,-0.907175,-1.44707,-0.518286,-1.76444,-0.0350171,23.9253,23.959,33.6349,0.712326,54.5888,1
1.24154,2.06116,1.19579,1.08611,0.996972,0.166896,0.691681,-0.577897,0.339157,-1.03846,-0.0175823,-1.16267,-0.548732,-0.987728,-1.08214,-0.468414,-1.37675,0.176933,-1.43992,0.744065,24.4254,25.6735,33.8609,0.758206,56.9568,1
1.4808,1.35738,1.27913,0.285027,0.96947,-0.58385,0.611897,-1.12114,0.250048,-1.26604,-0.288709,-1.06196,-0.82976,-0.456127,-1.12859,0.296736,-1.19267,0.958353,-1.15162,1.59162,23.7668,26.7721,26.2582,1.01957,54.8098,1
1.68596,0.167039,1.34478,-0.586882,0.950812,-1.05309,0.552132,-1.17882,-0.0414637,-1.00174,-0.637588,-0.476057,-0.966831,0.177198,-1.03743,0.751281,-0.99221,1.30077,-0.858166,1.9003,22.1082,26.4346,17.6841,1.49482,49.405,1
1.88072,-0.652436,1.40912,-1.01623,0.931879,-1.11434,0.221315,-0.976156,-0.492275,-0.565957,-0.886396,-0.056207,-0.970908,0.391762,-0.916776,0.820538,-0.756318,1.28837,-0.420363,1.88065,19.986,29.5698,14.6265,2.02165,42.8661,1
2.01784,-1.09199,1.41023,-1.17235,0.505557,-1.05917,-0.402971,-0.723178,-0.904757,-0.305644,-1.01236,0.0612854,-0.943436,0.412494,-0.739145,0.79569,-0.311414,1.28083,0.380445,1.80204,18.3042,33.6349,18.2045,1.84762,36.1163,1
1.77306,-1.34764,0.702551,-1.24555,-0.372522,-0.942517,-0.966293,-0.565936,-1.09362,-0.234996,-1.01206,0.0817658,-0.770321,0.427377,-0.264181,0.864934,0.554504,1.33502,1.44888,1.62754,17.8094,33.8609,25.1469,1.34653,33.492,1
0.582025,-1.54136,-0.387046,-1.2397,-0.922271,-0.864823,-1.03704,-0.535381,-0.963527,-0.220054,-0.745622,0.123992,-0.289388,0.559567,0.448575,1.02753,1.25476,1.31872,2.05953,1.37151,18.6859,26.2582,30.6775,0.855941,38.6278,1
