4.42732,0.675471,0.152865,0.0388279,0.182271,0.058626,0.300678,0.776193,1.49192,2.93858,3.947,4.5823,5.71605,6.38581,6.07681,6.35527,5.58661,3.83441,2.75503,2.0954,
0.675471,0.152865,0.0388279,0.182271,0.058626,0.300678,0.776193,1.49192,2.93858,3.947,4.5823,5.71605,6.38581,6.07681,6.35527,5.58661,3.83441,2.75503,2.0954,1.68694,
0.152865,0.0388279,0.182271,0.058626,0.300678,0.776193,1.49192,2.93858,3.947,4.5823,5.71605,6.38581,6.07681,6.35527,5.58661,3.83441,2.75503,2.0954,1.68694,6.7159,
0.0388279,0.182271,0.058626,0.300678,0.776193,1.49192,2.93858,3.947,4.5823,5.71605,6.38581,6.07681,6.35527,5.58661,3.83441,2.75503,2.0954,1.68694,6.7159,11.42,
0.182271,0.058626,0.300678,0.776193,1.49192,2.93858,3.947,4.5823,5.71605,6.38581,6.07681,6.35527,5.58661,3.83441,2.75503,2.0954,1.68694,6.7159,11.42,14.7511,
0.058626,0.300678,0.776193,1.49192,2.93858,3.947,4.5823,5.71605,6.38581,6.07681,6.35527,5.58661,3.83441,2.75503,2.0954,1.68694,6.7159,11.42,14.7511,14.1423,
0.300678,0.776193,1.49192,2.93858,3.947,4.5823,5.71605,6.38581,6.07681,6.35527,5.58661,3.83441,2.75503,2.0954,1.68694,6.7159,11.42,14.7511,14.1423,13.8626,
0.776193,1.49192,2.93858,3.947,4.5823,5.71605,6.38581,6.07681,6.35527,5.58661,3.83441,2.75503,2.0954,1.68694,6.7159,11.42,14.7511,14.1423,13.8626,13.6405,
1.49192,2.93858,3.947,4.5823,5.71605,6.38581,6.07681,6.35527,5.58661,3.83441,2.75503,2.0954,1.68694,6.7159,11.42,14.7511,14.1423,13.8626,13.6405,10.004,
2.93858,3.947,4.5823,5.71605,6.38581,6.07681,6.35527,5.58661,3.83441,2.75503,2.0954,1.68694,6.7159,11.42,14.7511,14.1423,13.8626,13.6405,10.004,6.78383,
3.947,4.5823,5.71605,6.38581,6.07681,6.35527,5.58661,3.83441,2.75503,2.0954,1.68694,6.7159,11.42,14.7511,14.1423,13.8626,13.6405,10.004,6.78383,5.24313,
4.5823,5.71605,6.38581,6.07681,6.35527,5.58661,3.83441,2.75503,2.0954,1.68694,6.7159,11.42,14.7511,14.1423,13.8626,13.6405,10.004,6.78383,5.24313,4.02649,
5.71605,6.38581,6.07681,6.35527,5.58661,3.83441,2.75503,2.0954,1.68694,6.7159,11.42,14.7511,14.1423,13.8626,13.6405,10.004,6.78383,5.24313,4.02649,3.57825,
6.38581,6.07681,6.35527,5.58661,3.83441,2.75503,2.0954,1.68694,6.7159,11.42,14.7511,14.1423,13.8626,13.6405,10.004,6.78383,5.24313,4.02649,3.57825,3.30732,
6.07681,6.35527,5.58661,3.83441,2.75503,2.0954,1.68694,6.7159,11.42,14.7511,14.1423,13.8626,13.6405,10.004,6.78383,5.24313,4.02649,3.57825,3.30732,4.99917,
6.35527,5.58661,3.83441,2.75503,2.0954,1.68694,6.7159,11.42,14.7511,14.1423,13.8626,13.6405,10.004,6.78383,5.24313,4.02649,3.57825,3.30732,4.99917,6.27508,
5.58661,3.83441,2.75503,2.0954,1.68694,6.7159,11.42,14.7511,14.1423,13.8626,13.6405,10.004,6.78383,5.24313,4.02649,3.57825,3.30732,4.99917,6.27508,8.8951,
3.83441,2.75503,2.0954,1.68694,6.7159,11.42,14.7511,14.1423,13.8626,13.6405,10.004,6.78383,5.24313,4.02649,3.57825,3.30732,4.99917,6.27508,8.8951,9.45198,
