10.4755,11.7091,10.7564,6.72664,5.96646,8.70117,10.7124,13.7139,14.7309,12.2689,cluster
11.7091,10.7564,6.72664,5.96646,8.70117,10.7124,13.7139,14.7309,12.2689,9.32327,3
10.7564,6.72664,5.96646,8.70117,10.7124,13.7139,14.7309,12.2689,9.32327,9.07845,4
6.72664,5.96646,8.70117,10.7124,13.7139,14.7309,12.2689,9.32327,9.07845,9.66089,4
5.96646,8.70117,10.7124,13.7139,14.7309,12.2689,9.32327,9.07845,9.66089,10.1976,4
8.70117,10.7124,13.7139,14.7309,12.2689,9.32327,9.07845,9.66089,10.1976,11.8035,2
10.7124,13.7139,14.7309,12.2689,9.32327,9.07845,9.66089,10.1976,11.8035,13.8071,2
13.7139,14.7309,12.2689,9.32327,9.07845,9.66089,10.1976,11.8035,13.8071,14.4429,2
14.7309,12.2689,9.32327,9.07845,9.66089,10.1976,11.8035,13.8071,14.4429,10.9994,2
12.2689,9.32327,9.07845,9.66089,10.1976,11.8035,13.8071,14.4429,10.9994,6.691,4
9.32327,9.07845,9.66089,10.1976,11.8035,13.8071,14.4429,10.9994,6.691,6.00371,4
9.07845,9.66089,10.1976,11.8035,13.8071,14.4429,10.9994,6.691,6.00371,8.04321,4
9.66089,10.1976,11.8035,13.8071,14.4429,10.9994,6.691,6.00371,8.04321,10.3681,4
10.1976,11.8035,13.8071,14.4429,10.9994,6.691,6.00371,8.04321,10.3681,11.9417,2
11.8035,13.8071,14.4429,10.9994,6.691,6.00371,8.04321,10.3681,11.9417,11.7855,2
13.8071,14.4429,10.9994,6.691,6.00371,8.04321,10.3681,11.9417,11.7855,11.395,2
14.4429,10.9994,6.691,6.00371,8.04321,10.3681,11.9417,11.7855,11.395,11.9495,3
10.9994,6.691,6.00371,8.04321,10.3681,11.9417,11.7855,11.395,11.9495,12.0786,3
6.691,6.00371,8.04321,10.3681,11.9417,11.7855,11.395,11.9495,12.0786,9.26038,4
6.00371,8.04321,10.3681,11.9417,11.7855,11.395,11.9495,12.0786,9.26038,6.96696,4
8.04321,10.3681,11.9417,11.7855,11.395,11.9495,12.0786,9.26038,6.96696,4.49106,4
10.3681,11.9417,11.7855,11.395,11.9495,12.0786,9.26038,6.96696,4.49106,2.67996,4
11.9417,11.7855,11.395,11.9495,12.0786,9.26038,6.96696,4.49106,2.67996,4.57987,2
